english_word|ipa|russian_word|exportedAt|status|knownAt|s1|s2|s3|family|note
season|/ˈsiːzən/|сезон|2026-04-05|learning|||Winter is my favourite **season**.|The new **season** starts in September.|What **season** do you like?|
second|/ˈsɛkɪnd/|секунда|2026-04-05|learning|||Wait one **second**, please.|She finished **second** in the race.|It took only a few **seconds**.|
secret|/ˈsiːkɹət/|секрет|2026-04-05|learning|||Can you keep a **secret**?|She told me a **secret**.|It is no longer a **secret**.|
semester|/sɪˈmɛstə/|семестр|2026-04-05|learning|||The **semester** starts in September.|She failed one exam this **semester**.|The spring **semester** is shorter.|
service|/ˈsɜːvɪs/|сервис|2026-04-05|learning|||The **service** at this hotel is great.|He works in customer **service**.|The internet **service** is slow.|
signal|/ˈsɪɡnəl/|сигнал|2026-04-05|learning|||The phone has no **signal** here.|Wait for my **signal** to start.|The **signal** was very weak.|
situation|/sɪtjuːˈeɪʃən/|ситуация|2026-04-05|learning|||The **situation** is getting better.|She is in a difficult **situation**.|We need to understand the **situation**.|
sofa|/ˈsəʊfə/|софа/диван|2026-04-05|learning|||She sat down on the **sofa**.|The **sofa** is very comfortable.|He fell asleep on the **sofa**.|
sport|/spɔːt/|спорт|2026-04-05|learning|||**Sport** is good for your health.|What is your favourite **sport**?|She does **sport** every morning.|
standard|/ˈstændəd/|стандарт|2026-04-05|learning|||The **standard** of living is high here.|She set a high **standard**.|This is the **standard** size.|
strategy|/ˈstɹætədʒi/|стратегия|2026-04-05|learning|||We need a new **strategy**.|The team changed their **strategy**.|She has a good **strategy** for the exam.|
structure|/ˈstɹʌktʃə(ɹ)/|структура|2026-04-05|learning|||The **structure** of the building is strong.|She explained the **structure** of the essay.|The **structure** is very old.|
student|/ˈstjuː.dənt/|студент|2026-04-05|learning|||She is a university **student**.|The **students** are in the classroom.|He is a very good **student**.|
style|/staɪl/|стиль|2026-04-05|learning|||She has a nice **style** of clothes.|I like your **style**.|The **style** of the house is modern.|
subject|/ˈsʌb.dʒɪkt/|субъект/предмет|2026-04-05|learning|||Math is my favourite **subject**.|What is the **subject** of the book?|She changed the **subject**.|
system|/ˈsɪstəm/|система|2026-04-05|learning|||The **system** is easy to use.|We need a better **system**.|The school **system** is different here.|
talent|/ˈtalənt/|талант|2026-04-05|learning|||She has a great **talent** for music.|He is full of **talent**.|The show looks for young **talent**.|
taxi|/ˈtæk.si/|такси|2026-04-05|learning|||Let's take a **taxi** to the airport.|The **taxi** arrived in two minutes.|She called a **taxi**.|
technology|/tɛkˈnɒlədʒi/|технология|2026-04-05|learning|||**Technology** changes very fast.|She works in **technology**.|Modern **technology** makes life easier.|
telephone|/ˈtɛləfəʊn/|телефон|2026-04-05|learning|||The **telephone** is ringing.|She answered the **telephone**.|There is a **telephone** on the desk.|
television|/ˈtɛləˌvɪʒən/|телевизор|2026-04-05|learning|||I watch **television** in the evening.|There is a big **television** in the room.|She turned off the **television**.|
temperature|/ˈtɛmp(ə)ɹətʃə(ɹ)/|температура|2026-04-05|learning|||The **temperature** is 30 degrees today.|Check the **temperature** before you go.|The **temperature** drops at night.|
tennis|/ˈtɛn.ɪs/|теннис|2026-04-05|learning|||He plays **tennis** twice a week.|She won the **tennis** match.|We watched **tennis** on TV.|
territory|/ˈtɛɹɪt(ə)ɹi/|территория|2026-04-05|learning|||This is their **territory**.|The **territory** of the country is large.|Animals protect their **territory**.|
test|/test/|тест|2026-04-05|learning|||I have a **test** tomorrow.|She passed the **test** easily.|The **test** was very difficult.|
text|/tɛkst/|текст|2026-04-05|learning|||Read the **text** carefully.|She sent me a **text** message.|The **text** is very short.|
theory|/ˈθiːəɹi/|теория|2026-04-05|learning|||In **theory**, it should work.|She has a new **theory**.|The **theory** was proven right.|
tourist|/ˈtʊəɹɪst/|турист|2026-04-05|learning|||The city is full of **tourists**.|She works as a **tourist** guide.|Many **tourists** visit the museum.|
tradition|/tɹəˈdɪʃn̩/|традиция|2026-04-05|learning|||It is a family **tradition**.|This **tradition** is very old.|She follows the **tradition** every year.|
transport||транспорт|2026-04-05|learning|||Public **transport** is cheap here.|She uses **transport** to get to work.|The city has good **transport**.|
university|/juːnɪˈvɜːsətiː/|университет|2026-04-05|learning|||She studies at the **university**.|The **university** is very old.|He wants to go to **university**.|
veteran|[ˈvɛ.t̬ə.ɹən]|ветеран|2026-04-05|learning|||He is a war **veteran**.|The **veteran** told us his story.|**Veterans** deserve our respect.|
video|/ˈvɪ.di.əʊ/|видео|2026-04-05|learning|||She made a **video** about cooking.|I watched a funny **video** online.|He records **videos** every week.|
virus|/ˈvaɪɹəs/|вирус|2026-04-05|learning|||The **virus** spread very quickly.|She caught a **virus** last week.|The computer has a **virus**.|
vitamin|/ˈvɑet.ə.mən/|витамин|2026-04-05|learning|||Take your **vitamins** every day.|This juice has a lot of **vitamins**.|**Vitamin** C is good for you.|
volleyball|/ˈvɒlibɔ(ː)l/|волейбол|2026-04-05|learning|||She plays **volleyball** at school.|We had a **volleyball** game on the beach.|**Volleyball** is fun to play.|
yoga|/ˈjoʊɡə/|йога|2026-04-05|learning|||She does **yoga** every morning.|**Yoga** helps me relax.|I started a **yoga** class last week.|
zoo|/zuː/|зоопарк|2026-04-05|learning|||We took the kids to the **zoo**.|The **zoo** has many animals.|She loves going to the **zoo**.|
